DES1244-1207,timeout
DES1358-1958,timeout
DES1713-1541,Error 1
DES1215+0335,timeout
DES1259-0124,timeout
DES1259-0416,timeout
DES1356-1915,timeout
DES1252-1958,timeout
DES1513+0001,timeout
DES1241-0958,Error 3
DES1300-0207,timeout
DES1516+0001,timeout
DES1516+0043,timeout
DES1509+0500,timeout
DES1628-0416,Error 1
DES1218+0335,timeout
DES1402-1915,timeout
DES1511+0543,timeout
DES1513-0041,timeout
DES1220-0750,Error 3
DES1355-1958,timeout
DES1256-0124,timeout
DES1508+0543,timeout
DES1704-1832,Error 1
DES1636+0126,Error 2
DES1453-4748,Error 1
DES1510+0626,timeout
DES1516-0041,timeout
DES1331-0124,timeout
DES1257-0207,timeout
DES1512+0626,timeout
DES1331-0207,timeout
DES1514+0543,timeout
DES1307-2415,Error 3
DES1512+0500,timeout
DES1027-1915,timeout
DES1041+0335,Error 3
DES1003+0209,timeout
DES1000+0252,timeout
DES0919+1626,Error 3
DES0910-0958,timeout
DES1057-0958,timeout
DES0908-0915,timeout
DES1024-1915,timeout
DES0934-0207,Error 3
DES1014-0124,Error 3
DES1100-0958,timeout
DES0955-2124,Error 3
DES1000+0209,timeout
DES0957+0209,timeout
DES1101-0915,timeout
DES1026-1832,timeout
DES1117-0750,Error 3
DES1058-0915,timeout
DES0907-0958,timeout
DES0942-1915,Error 3
DES0911-0915,timeout
DES1120-0750,Error 3
DES1527-3123,Error 1
DES1401-1958,timeout
DES1426-2458,timeout
DES1025-2706,timeout
DES1427-2541,timeout
DES1330-4331,timeout
DES1329-4957,Error 1
DES1524-3206,timeout
DES1158-4914,Error 1
DES1158-4914,Error 1
DES1326-4331,timeout
DES1527-3206,timeout
DES1022-2706,timeout
DES1359-1915,timeout
DES1328-4249,timeout
DES1328-4414,timeout
DES1322-4331,timeout
DES1025-2749,timeout
DES1429-2458,timeout
DES1324-4414,timeout
DES1320-4249,timeout
DES1348-3249,timeout
DES1335-2915,timeout
DES1205-4957,Error 1
DES1022-2749,timeout
DES1615-3332,Error 1
DES1333-2958,timeout
DES1328-5040,Error 1
DES1219-5123,Error 1
DES1707-1832,Error 1
DES1606-2832,Error 1
DES1324-4249,timeout
DES1622-3332,Error 1
DES1655-2041,Error 1
DES0930-2832,Error 2
DES1340-2958,timeout
DES1524-3123,timeout
DES1430-2541,timeout
DES1607-2458,Error 1
DES1336-2958,timeout
